model,num_correct,avg_eps,avg_l2,avg_linf,avg_lpips,avg_spearman
vit_small_patch16_224,812,0.01857506157635468,4.5195317,0.018575076,0.0,0.02254915310628756
convnext_base,889,0.1952154668166479,37.178875,0.1951694,0.0,0.0071753290936153605
vit_small_patch32_224,758,0.019818891820580477,5.1471987,0.019818906,0.0,0.009937515524909405
resnet152,911,0.18183423710208563,36.46421,0.18182485,0.0,-0.0003160639910044661
inception_v4,801,0.05544104868913857,12.326065,0.055441063,0.0,0.004159612623811876
densenet169,767,0.005477718383311602,1.6000538,0.005477731,0.0,-0.003506299146187821
resnetv2_50,873,0.10756730813287514,22.850504,0.10756733,0.0,-0.007466216235295445
efficientnet_b1,743,0.027113405114401076,6.5595512,0.027113417,0.0,0.005208670597777089
vit_large_patch16_224,903,0.1150718161683278,24.211296,0.115071826,0.0,0.009749739156689691
convnext_tiny,889,0.10326604049493812,20.895788,0.10326605,0.0,0.009126374944450963
mobilenetv2_120d,691,0.013310520984081043,3.4876206,0.013310535,0.0,-0.003230846047671982
resnetv2_101,889,0.16851897637795274,34.318604,0.16851899,0.0,-0.005340708316656866
densenet201,770,0.006788896103896104,1.94718,0.006788909,0.0,-0.010637575730302525
mobilenetv2_140,663,0.00992478129713424,2.652446,0.009924794,0.0,-0.011803789987507205
efficientnet_b2,745,0.02675363758389262,6.299526,0.02675365,0.0,-0.00105937550141342
mobilenetv3_large_100,650,0.007391092307692307,2.1739984,0.0073911035,0.0,-0.004216839734336888
convnext_small,893,0.1618273012318029,31.573534,0.1617675,0.0,-0.002516236019206205
mobilenetv3_rw,544,0.010203970588235294,2.8090544,0.010203984,0.0,0.01154739201824823
mobilenetv3_small_050,301,0.002918870431893688,1.0503882,0.0029188825,0.0,0.0013865498474330377
mobilenetv3_small_075,463,0.003826025917926566,1.292609,0.0038260384,0.0,0.004328924681276228
mobilenetv3_small_100,546,0.005872106227106227,1.7935238,0.005872119,0.0,0.01703228381582876
efficientnet_b3,832,0.05817128605769231,12.663717,0.0581713,0.0,-0.0005399668001707687
swin_tiny_patch4_window7_224,833,0.06712932773109244,14.640527,0.067129344,0.0,-0.0021068126813850447
dpn68,620,0.009163870967741935,2.3538954,0.0091638835,0.0,0.005640455210774403
mobilevit_s,853,0.022696107854630717,5.6516595,0.02269612,0.0,0.013071850395701275
regnetv_040,885,0.10960151412429378,22.966745,0.10960152,0.0,0.009450505012493586
dpn68b,825,0.07301361212121212,15.593892,0.073013626,0.0,0.0009697898966711079
mobilevit_xs,778,0.01170935732647815,3.0988827,0.01170937,0.0,0.002877490666449818
swin_small_patch4_window7_224,887,0.12565802705749718,25.506096,0.12560126,0.0,-0.00910378680964924
convnext_large,909,0.20481649064906488,38.70154,0.20472659,0.0,0.0019661617835618015
regnetv_064,901,0.13360163152053273,27.221058,0.13358548,0.0,0.004580021416798167
mixnet_l,617,0.030871053484602916,7.2179303,0.030871065,0.0,0.008084623210068689
mobilevit_xxs,698,0.0025224068767908314,0.8796831,0.0025224194,0.0,0.019732417135864596
regnetx_002,369,0.002574119241192412,0.77286386,0.002574132,0.0,0.021470855283338246
dpn92,706,0.014986770538243627,3.7144837,0.014986784,0.0,-0.0038886079707743425
mobilevitv2_050,687,0.009319592430858805,2.429357,0.009319605,0.0,0.0008230921736227423
regnetx_040,622,0.00578750803858521,1.7222375,0.005787521,0.0,0.01253069702134338
swin_base_patch4_window7_224,869,0.16740865362485616,32.60244,0.16738045,0.0,-0.0069714998253780575
xception,798,0.020805250626566414,4.969447,0.020805264,0.0,0.0069499631777708865
regnetx_064,625,0.006659360000000001,1.8745129,0.0066593727,0.0,0.0015090018824782901
mobilevitv2_075,749,0.02241736982643525,5.517269,0.022417381,0.0,-0.009169461059307382
mixnet_m,527,0.024350796963946868,5.8315816,0.024350813,0.0,0.008645948960831073
dpn98,695,0.015054546762589929,3.8058164,0.01505456,0.0,-0.003116326908971227
regnetx_080,669,0.0068116442451420026,1.8951805,0.0068116565,0.0,0.005602626419248779
mobilevitv2_100,799,0.02963424280350438,7.145119,0.029634256,0.0,-0.008118103793185364
swin_large_patch4_window7_224,881,0.1515926787741203,29.439875,0.15156142,0.0,-0.009584929259599754
regnetx_120,657,0.005595038051750381,1.7330741,0.0055950517,0.0,0.007168945571665538
